,epoch,train_loss,val_loss
0,0,0.37032674630784024,0.3125442006294766
1,1,0.2955392834062528,0.28651061563962893
2,2,0.2549464619370422,0.258217207847103
3,3,0.2360263747699333,0.23222385286804167
4,4,0.22230843289030922,0.22705724940545136
5,5,0.216116640069569,0.20548059118370857
6,6,0.20769356084291382,0.1965393114294256
7,7,0.20072493503491085,0.22242140784979827
8,8,0.1974807672578879,0.19056244125409472
9,9,0.19354041089313198,0.18858700705271575
10,10,0.1901339249252671,0.19123549059393904
11,11,0.18705982127875992,0.19599853762455524
12,12,0.18615753561860382,0.19176234019499633
13,13,0.1813670626041865,0.1864117874854034
14,14,0.17883858356361437,0.17951760383983772
15,15,0.1785748346962712,0.17883628402506152
16,16,0.176323428802719,0.18131387005409888
17,17,0.1735985489129418,0.17581682357816927
18,18,0.17279873848563493,0.1724986520806147
19,19,0.16894809066346198,0.17635816182460515
20,20,0.16928736282267956,0.18036283615736232
21,21,0.16782493794506245,0.2179150701530518
22,22,0.16599722725122865,0.1763014133058248
23,23,0.15484206568863657,0.16819118576184397
24,24,0.15240298234152072,0.16734316878982128
25,25,0.150517833029682,0.16798721554298554
26,26,0.14980730575443518,0.16796510246011517
27,27,0.1493084105954628,0.16876650364288398
28,28,0.14742254091784207,0.1676691573473715
29,29,0.14636037580744185,0.1677530699619843
30,30,0.14609133954150508,0.1672634772896286
31,31,0.14549252509017183,0.1678072131208835
32,32,0.14630732511480649,0.1687744343052468
33,33,0.14619321129990345,0.16813139115730602
34,34,0.14535316662354902,0.1681196666472862
35,35,0.14534450829631151,0.16839572339649161
36,36,0.1448807780301631,0.16864732202262647
37,37,0.14510643162360096,0.16801495901158742
38,38,0.14525552227190047,0.16735602155207627
39,39,0.1453425216290987,0.1689048826754574
40,40,0.14448369943884887,0.16747415600524795
41,41,0.14548810593257047,0.1680528300423776
42,42,0.14477931692669488,0.1676519787720134
43,43,0.14553716148089882,0.16735348162511665
44,44,0.14529019619027775,0.16738044049951337
45,45,0.14522944414103875,0.16757754203412803
46,46,0.14399795283873876,0.16736457974559837
47,47,0.14519326095328186,0.16762802485496767
48,48,0.14487556337256624,0.16812976461745077
49,49,0.14477892984645535,0.167061259158917
